1	EGC (best of volume)	EGC (best of volume)	\N	\N
2	Communication Systems and Networks	Communication Systems and Networks	\N	\N
3	SBRN	SBRN	\N	\N
4	DEIS	DEIS	\N	\N
5	CCGIDIS	CCGIDIS	\N	\N
6	AAIM	AAIM	\N	\N
7	FAW-AAIM	FAW-AAIM	\N	\N
8	UMAP	UMAP	\N	\N
9	User Modeling	User Modeling	\N	\N
10	UMAP Workshops	UMAP Workshops	\N	\N
11	CSMR	CSMR	\N	\N
12	CSMR-WCRE	CSMR-WCRE	\N	\N
13	Foundations and Applications of Multi-Agent Systems	Foundations and Applications of Multi-Agent Systems	\N	\N
14	Combinatorics and Computer Science	Combinatorics and Computer Science	\N	\N
15	ICAIL	ICAIL	\N	\N
16	Law, Ontologies and the Semantic Web	Law, Ontologies and the Semantic Web	\N	\N
17	LOAIT	LOAIT	\N	\N
18	Evaluation of Legal Reasoning and Problem-Solving Systems	Evaluation of Legal Reasoning and Problem-Solving Systems	\N	\N
19	ArgMAS	ArgMAS	\N	\N
20	SBSC	SBSC	\N	\N
21	A-MOST	A-MOST	\N	\N
22	EGCDMAS	EGCDMAS	\N	\N
23	CHINZ	CHINZ	\N	\N
24	OR	OR	\N	\N
25	ACM Pacific	ACM Pacific	\N	\N
26	PST	PST	\N	\N
27	Algebraic Coding	Algebraic Coding	\N	\N
28	History of Medical Informatics	History of Medical Informatics	\N	\N
29	IFIPTM	IFIPTM	\N	\N
30	APSEC	APSEC	\N	\N
31	APSEC Workshops	APSEC Workshops	\N	\N
32	KMIS	KMIS	\N	\N
33	KEOD	KEOD	\N	\N
34	KDIR	KDIR	\N	\N
35	SSW	SSW	\N	\N
36	MUSIC	MUSIC	\N	\N
37	APLAS	APLAS	\N	\N
38	MVHI	MVHI	\N	\N
39	SBCARS	SBCARS	\N	\N
40	Analysis and Visualization Tools for Constraint Programming	Analysis and Visualization Tools for Constraint Programming	\N	\N
41	eKNOW	eKNOW	\N	\N
42	Java Virtual Machine Research and Technology Symposium	Java Virtual Machine Research and Technology Symposium	\N	\N
43	Virtual Machine Research and Technology Symposium	Virtual Machine Research and Technology Symposium	\N	\N
44	AOSD	AOSD	\N	\N
45	AOSD (Companion)	AOSD (Companion)	\N	\N
46	SPLAT	SPLAT	\N	\N
47	VMIL	VMIL	\N	\N
48	MODULARITY	MODULARITY	\N	\N
49	ACP4IS	ACP4IS	\N	\N
50	Pattern Detection and Discovery	Pattern Detection and Discovery	\N	\N
51	BioADIT	BioADIT	\N	\N
52	POMC	POMC	\N	\N
53	CONCUR	CONCUR	\N	\N
54	Seminar on Concurrency	Seminar on Concurrency	\N	\N
55	Concurrency	Concurrency	\N	\N
56	Concurrency: Theory, Language, And Architecture	Concurrency: Theory, Language, And Architecture	\N	\N
57	Workshop on Information Integration on the Web	Workshop on Information Integration on the Web	\N	\N
58	IALP	IALP	\N	\N
59	FinTAL	FinTAL	\N	\N
60	IDCS	IDCS	\N	\N
61	HICSS	HICSS	\N	\N
62	HICSS (1)	HICSS (1)	\N	\N
63	HICSS (3)	HICSS (3)	\N	\N
64	HICSS (4)	HICSS (4)	\N	\N
65	HICSS (6)	HICSS (6)	\N	\N
66	HICSS (5)	HICSS (5)	\N	\N
67	HICSS (2)	HICSS (2)	\N	\N
68	Foundations of Logic and Functional Programming	Foundations of Logic and Functional Programming	\N	\N
69	CICLing	CICLing	\N	\N
70	CICLing (2)	CICLing (2)	\N	\N
71	CICLing (1)	CICLing (1)	\N	\N
