source_file	line_number	reason	raw_row
input_inproceedings.csv	746	Missing conference article title	10428;Dan He;AAIM;;;;conf/aaim/2007;;http://dx.doi.org/10.1007/978-3-540-72870-2_33;BMA;conf/aaim/He07;2007-06-28;;;;346-357;;;*;;;;db/conf/aaim/aaim2007.html#He07;2007
input_inproceedings.csv	2691	Missing conference article title	12408;Gerard Vreeswijk|Henry Prakken|Susan W. van den Braak;ICAIL;;;;conf/icail/2007;;http://doi.acm.org/10.1145/1276318.1276321;AVERs;conf/icail/BraakVP07;2007-08-22;;;;11-15;;;;;;;db/conf/icail/icail2007.html#BraakVP07;2007
input_inproceedings.csv	3127	Missing conference article title	12863;Adon Moskal|Jo Cramond;CHINZ;;;;conf/chinz/2012;;http://doi.acm.org/10.1145/2379256.2379280;Otago InForm;conf/chinz/MoskalC12;2012-10-30;;;;96;;;;;;;db/conf/chinz/chinz2012.html#MoskalC12;2012
input_inproceedings.csv	3155	Missing conference article title	12892;Holger Regenbrecht|Simon Hoermann;CHINZ;;;;conf/chinz/2012;;http://doi.acm.org/10.1145/2379256.2379273;TheraMem;conf/chinz/RegenbrechtH12;2012-10-30;;;;89;;;;;;;db/conf/chinz/chinz2012.html#RegenbrechtH12;2012
input_inproceedings.csv	3159	Missing conference article title	12896;Adrian J. Clark|Thammathip Piumsomboon;CHINZ;;;;conf/chinz/2012;;http://doi.acm.org/10.1145/2379256.2379283;ARMicroMachines;conf/chinz/PiumsomboonC12;2013-01-16;;;;99;;;;;;;db/conf/chinz/chinz2012.html#PiumsomboonC12;2012
input_inproceedings.csv	3197	Missing conference article title	12938;Christopher Aikens|Danielle Cummings|George Lucchese|Jimmy Ho|Manoj Prasad|Tracy Hammond;CHINZ;;;;conf/chinz/2012;;http://doi.acm.org/10.1145/2379256.2379286;GeoTrooper;conf/chinz/CummingsLPAHH12a;2012-10-31;;;;102;;;;;;;db/conf/chinz/chinz2012.html#CummingsLPAHH12a;2012
input_inproceedings.csv	3214	Missing conference article title	12955;Ian MacColl|Michael J. Docherty|Rajinesh Ravendran;CHINZ;;;;conf/chinz/2012;;http://doi.acm.org/10.1145/2379256.2379276;TagNBank;conf/chinz/RavendranMD12a;2013-05-05;;;;92;;;;;;;db/conf/chinz/chinz2012.html#RavendranMD12a;2012
input_inproceedings.csv	3796	Missing conference article title	13544;Marc Branchaud|Scott Flinn;PST;;;;conf/pst/2004;;http://dev.hil.unb.ca/Texts/PST/pdf/branchaud.pdf;x;conf/pst/BranchaudF04;2006-03-07;;;;207-218;;;;;;;db/conf/pst/pst2004.html#BranchaudF04;2004
input_inproceedings.csv	7625	Missing conference article title	17470;Atsushi Kosaka|Fumio Kishino|Kyoko Ueda|Ryoichi Watanabe|Takao Onoye|Yoshifumi Kitamura|Yoshinori Takeuchi|Yuichi Itoh;BioADIT;;;;conf/bioadit/2006;;http://dx.doi.org/10.1007/11613022_31;m;conf/bioadit/UedaKWTOIKK06;2005-12-21;;;;363-370;;;;;;;db/conf/bioadit/bioadit2006.html#UedaKWTOIKK06;2006
input_inproceedings.csv	19444	Missing conference article title	29335;Carolyn L. Talcott;Foundations of Logic and Functional Programming;;;;conf/flfp/1986;;http://dx.doi.org/10.1007/3-540-19129-1_1;Rum;conf/flfp/Talcott86;2011-06-14;;;;3-44;;;;;;;db/conf/flfp/flfp1986.html#Talcott86;1986
