Rank,Title,OA,Country,SJR-index,CiteScore,H-index,Best Quartile,Best Categories,Best Subject Area,Best Subject Rank,Total Docs.,Total Docs. 3y,Total Refs.,Total Cites 3y,Citable Docs. 3y,Cites/Doc. 2y,Refs./Doc.,Publisher,Core Collection,Coverage,Active,In-Press,ISO Language Code,ASJC Codes,Life Sciences,Social Sciences,Physical Sciences,Health Sciences,1000 General,1100 Agricultural and Biological Sciences,1200 Arts and Humanities,"1300 Biochemistry, Genetics and Molecular Biology","1400 Business, Management and Accounting",1500 Chemical Engineering,1600 Chemistry,1700 Computer Science,1800 Decision Sciences,1900 Earth and Planetary Sciences,"2000 Economics, Econometrics and Finance",2100 Energy,2200 Engineering,2300 Environmental Science,2400 Immunology and Microbiology,2500 Materials Science,2600 Mathematics,2700 Medicine,2800 Neuroscience,2900 Nursing,"3000 Pharmacology, Toxicology and Pharmaceutics",3100 Physics and Astronomy,3200 Psychology,3300 Social Sciences,3400 Veterinary,3500 Dentistry,3600 Health Professions
1,Ca-A Cancer Journal for Clinicians,False,United States,86.091,642.9,198,Q1,"['Hematology', 'Oncology']",Medicine,1,44,118,4268,30318,85,299.99,97.0,Wiley,Science Citation Index Expanded,1950,True,True,ENG,"['2730', ' 2720']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Quarterly Journal of Economics,False,United Kingdom,36.73,25.1,292,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",1,36,122,2398,2141,122,14.83,66.61,Oxford Univ Press Inc,Social Sciences Citation Index,1886,True,False,ENG,['2002'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Nature Reviews Molecular Cell Biology,False,United Kingdom,34.201,164.4,485,Q1,"['Cell Biology', 'Molecular Biology']","Biochemistry, Genetics and Molecular Biology",1,121,328,10804,13331,156,35.47,89.29,Nature Portfolio,Science Citation Index Expanded,2000,True,True,ENG,"['1307', ' 1312']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Cell,False,United States,26.494,102.0,856,Q1,"['Biochemistry, Genetics and Molecular Biology (miscellaneous)']","Biochemistry, Genetics and Molecular Biology",2,420,1637,27609,67791,1440,43.8,65.74,Cell Press,Science Citation Index Expanded,1974,True,True,ENG,['1300'],1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,New England Journal of Medicine,False,United States,26.015,134.4,1130,Q1,['Medicine (miscellaneous)'],Medicine,2,1410,4561,14396,133956,1854,33.93,10.21,Massachusetts Medical Soc,Science Citation Index Expanded,1945,True,False,ENG,['2700'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Nature Medicine,False,United Kingdom,24.687,107.5,605,Q1,"['Biochemistry, Genetics and Molecular Biology (miscellaneous)']","Biochemistry, Genetics and Molecular Biology",3,522,1245,15256,41058,664,34.67,29.23,Nature Portfolio,Science Citation Index Expanded,1995,True,True,ENG,"['1300', ' 2700']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,MMWR Recommendations and Reports,True,United States,23.962,24.8,151,Q1,"['Health, Toxicology and Mutagenesis']",Environmental Science,1,103,138,940,3469,133,25.28,9.13,Centers Disease Control & Prevention,Science Citation Index Expanded,1990,True,False,ENG,"['3605', ' 2307', ' 2700', ' 3306', ' 2713']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
8,Nature Biotechnology,False,United Kingdom,22.781,71.9,491,Q1,['Bioengineering'],Chemical Engineering,1,423,1038,10852,20441,426,16.35,25.65,Nature Portfolio,Science Citation Index Expanded,1989,True,True,ENG,"['2204', ' 1313', ' 2402', ' 1502', ' 1305']",1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Nature Reviews Materials,False,United Kingdom,21.927,103.2,156,Q1,['Energy (miscellaneous)'],Energy,1,122,294,11032,11854,168,40.82,90.43,Nature Portfolio,Science Citation Index Expanded,2016,True,False,ENG,"['2505', ' 2508', ' 2101', ' 2502', ' 2504']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,American Economic Review,False,United States,21.833,18.2,337,Q1,['Economics and Econometrics'],"Economics, Econometrics and Finance",2,71,355,4237,4108,354,9.78,59.68,Amer Economic Assoc,Social Sciences Citation Index,1978,True,False,ENG,['2002'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Nature Reviews Cancer,False,United Kingdom,20.977,96.7,484,Q1,['Cancer Research'],"Biochemistry, Genetics and Molecular Biology",5,111,325,8402,10528,174,37.34,75.69,Nature Portfolio,Science Citation Index Expanded,2001,True,True,ENG,"['1306', ' 2730']",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
