2355,ACM Conference on Learning @ Scale,L@S,ICORE2026,B,Yes,4601,4611,CSE
2319,ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,ICORE2026,A,Yes,CSE,,
30,ACM International Conference on Supercomputing,ICS,ICORE2026,A,Yes,CSE,4606,
32,ACM International Symposium on Computer Architecture,ISCA,ICORE2026,A*,Yes,CSE,4606,4612
33,ACM International Symposium on High Performance Distributed Computing,HPDC,ICORE2026,A,No,4606,CSE,
1996,Design Automation Conf,DAC,ICORE2026,A*,Yes,CSE,,
421,"Design, Automation and Test in Europe Conference",DATE,ICORE2026,A,Yes,CSE,4612,
2334,Euromicro Conference Series on Digital System Design,DSD,ICORE2026,C,Yes,CSE,4606,
2318,Field Programmable Logic and Applications,FPL,ICORE2026,B,Yes,CSE,,
2316,IEEE European Test Symposium,ETS,ICORE2026,B,Yes,CSE,,
2321,IEEE Industrial Electronics Society,IECON,ICORE2026,C,Yes,CSE,,
2320,IEEE International Conference on Computer Design,ICCD,ICORE2026,C,Yes,CSE,,
2322,IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,ICORE2026,C,Yes,CSE,,
2323,IEEE International Conference on Industrial Informatics,INDIN,ICORE2026,C,Yes,CSE,,
2325,IEEE International Conference on Quantum Computing and Engineering,QCE,ICORE2026,National/Regional,Yes,CSE,,
2051,IEEE International Conference on Robotics and Automation,ICRA,ICORE2026,A*,Yes,4602,CSE,
688,IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,ICORE2026,A,Yes,4606,CSE,
2317,IEEE International Symposium on Circuits and Systems,ISCAS,ICORE2026,C,Yes,CSE,,
710,IEEE International Test Conference,ITC,ICORE2026,A,Yes,CSE,,
2026,IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,ICORE2026,National/Regional,Yes,CSE,4606,
2315,IEEE VLSI Test Symposium,VTS,ICORE2026,National/Regional,Yes,CSE,,
783,IEEE/ACM International Conference on Computer-Aided Design,ICCAD,ICORE2026,A,Yes,CSE,4606,
2331,IEEE/ACM International Symposium on Low Power Electronics and Design,ISLPED,ICORE2026,A,Yes,CSE,4601,
787,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,ICORE2026,A,Yes,4606,CSE,
2356,IEEE/IFIP International Conference on Very Large Scale Integration of System-on-Chip,VLSI-SOC,ICORE2026,C,Yes,CSE,,
792,IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,ICORE2026,A,Yes,4602,CSE,
77,"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,ICORE2026,A,No,CSE,4606,
2328,International Conference on Factory Communication Systems,WFCS,ICORE2026,C,Yes,CSE,4606,4601
1422,"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,ICORE2026,Journal Published,Yes,CSE,4606,
2333,International Conference on Image Processing Applications and Systems,IPAS,ICORE2026,C,Yes,4603,4602,CSE
2329,International Symposium on Design and Diagnostics of Electronic Circuits and Systems,DDECS,ICORE2026,C,Yes,CSE,,
1386,International Symposium on High Performance Computer Architecture,HPCA,ICORE2026,A*,Yes,CSE,4606,
2098,International Symposium on Microarchitecture,MICRO,ICORE2026,A*,Yes,CSE,,
1340,ISC High Performance (was International Supercomputing Conference),ISC,ICORE2026,National/Regional,Yes,4606,CSE,
687,On-Line Testing and Robust System Design,IOLTS,ICORE2026,C,Yes,CSE,4612,
